ID,LONGITUDE,LATITUDE,Coloring,DA,CD,Province,CSD,Abbrev,Suppressed,POP2016,POP2011,DAUID,CMA
207737,-79847135,43834665,1,35210011,3521,35,3521024,ON,N,375,375,35210011,535
207729,-79856063,43805799,3,35210013,3521,35,3521024,ON,N,405,405,35210013,535
207721,-79886298,43796776,4,35210014,3521,35,3521024,ON,N,331,330,35210014,535
200513,-79909766,43772718,3,35210015,3521,35,3521024,ON,N,828,830,35210015,535
200505,-79944072,43745540,1,35210017,3521,35,3521024,ON,N,796,795,35210017,535
200769,-79873452,43734081,0,35210018,3521,35,3521024,ON,N,826,825,35210018,535
200497,-79903998,43704201,3,35210019,3521,35,3521024,ON,N,477,475,35210019,535
203857,-79799846,43707626,3,35210023,3521,35,3521010,ON,N,944,940,35210023,535
203881,-79792220,43710702,2,35210024,3521,35,3521010,ON,N,443,440,35210024,535
204537,-79771109,43697716,2,35210168,3521,35,3521010,ON,N,1406,1405,35210168,535
204313,-79775225,43695942,3,35210169,3521,35,3521010,ON,N,522,520,35210169,535
204289,-79778672,43695108,4,35210170,3521,35,3521010,ON,N,631,630,35210170,535
204305,-79776505,43692960,0,35210171,3521,35,3521010,ON,N,587,590,35210171,535
204241,-79783693,43690779,3,35210172,3521,35,3521010,ON,N,466,465,35210172,535
204273,-79780780,43690781,1,35210173,3521,35,3521010,ON,N,529,530,35210173,535
204281,-79778658,43687960,0,35210174,3521,35,3521010,ON,N,505,505,35210174,535
204233,-79784221,43688621,4,35210175,3521,35,3521010,ON,N,521,520,35210175,535
204257,-79776361,43684403,3,35210176,3521,35,3521010,ON,N,1235,1240,35210176,535
204265,-79774472,43687728,1,35210177,3521,35,3521010,ON,N,453,450,35210177,535
204297,-79774757,43689239,2,35210178,3521,35,3521010,ON,N,445,445,35210178,535
204473,-79770002,43690494,0,35210179,3521,35,3521010,ON,N,595,595,35210179,535
204481,-79772497,43692115,1,35210180,3521,35,3521010,ON,N,526,525,35210180,535
204513,-79764409,43692094,3,35210181,3521,35,3521010,ON,N,782,785,35210181,535
204489,-79765538,43688205,1,35210182,3521,35,3521010,ON,N,1008,1005,35210182,535
204465,-79767360,43685438,4,35210183,3521,35,3521010,ON,N,574,575,35210183,535
204177,-79765175,43678976,0,35210186,3521,35,3521010,ON,N,242,245,35210186,535
204497,-79762498,43681752,2,35210187,3521,35,3521010,ON,N,395,395,35210187,535
204193,-79759552,43679304,1,35210188,3521,35,3521010,ON,N,466,470,35210188,535
204169,-79762300,43675465,3,35210189,3521,35,3521010,ON,N,1194,1195,35210189,535
204185,-79758996,43674776,0,35210190,3521,35,3521010,ON,N,398,395,35210190,535
205665,-79756569,43676817,2,35210191,3521,35,3521010,ON,N,303,300,35210191,535
205657,-79753599,43673537,3,35210192,3521,35,3521010,ON,N,578,575,35210192,535
205673,-79753371,43678208,0,35210193,3521,35,3521010,ON,N,378,375,35210193,535
205729,-79748426,43675797,1,35210194,3521,35,3521010,ON,N,887,890,35210194,535
205681,-79749227,43672443,2,35210195,3521,35,3521010,ON,N,594,595,35210195,535
205697,-79746269,43668721,0,35210198,3521,35,3521010,ON,N,424,425,35210198,535
205713,-79743256,43667553,1,35210199,3521,35,3521010,ON,N,590,590,35210199,535
205705,-79743400,43663683,3,35210204,3521,35,3521010,ON,N,365,365,35210204,535
205625,-79742970,43662001,4,35210205,3521,35,3521010,ON,N,464,465,35210205,535
205617,-79744902,43660888,0,35210206,3521,35,3521010,ON,N,432,435,35210206,535
205609,-79744027,43659416,1,35210207,3521,35,3521010,ON,N,721,720,35210207,535
205601,-79747410,43657257,2,35210208,3521,35,3521010,ON,N,553,555,35210208,535
205593,-79747391,43656311,1,35210209,3521,35,3521010,ON,N,674,675,35210209,535
205537,-79749895,43655667,0,35210210,3521,35,3521010,ON,N,556,555,35210210,535
205497,-79752277,43655149,3,35210211,3521,35,3521010,ON,N,989,990,35210211,535
205473,-79753394,43652355,0,35210212,3521,35,3521010,ON,N,594,590,35210212,535
205457,-79753312,43650781,1,35210213,3521,35,3521010,ON,N,860,860,35210213,535
205465,-79756597,43652162,4,35210214,3521,35,3521010,ON,N,516,515,35210214,535
205449,-79754683,43649301,2,35210215,3521,35,3521010,ON,N,674,675,35210215,535
204081,-79758380,43654063,2,35210216,3521,35,3521010,ON,N,687,685,35210216,535
204073,-79760534,43653941,3,35210217,3521,35,3521010,ON,N,747,745,35210217,535
204097,-79757736,43656745,1,35210218,3521,35,3521010,ON,N,704,700,35210218,535
205513,-79753528,43657853,4,35210219,3521,35,3521010,ON,N,403,405,35210219,535
205505,-79754944,43658686,2,35210220,3521,35,3521010,ON,N,377,375,35210220,535
205521,-79756445,43660257,3,35210221,3521,35,3521010,ON,N,475,475,35210221,535
205545,-79752169,43660510,0,35210222,3521,35,3521010,ON,N,521,520,35210222,535
205529,-79754110,43662547,2,35210223,3521,35,3521010,ON,N,343,345,35210223,535
205641,-79749618,43664613,3,35210224,3521,35,3521010,ON,N,759,760,35210224,535
205689,-79746459,43664321,2,35210225,3521,35,3521010,ON,N,460,460,35210225,535
205633,-79755574,43669043,1,35210226,3521,35,3521010,ON,N,669,670,35210226,535
205649,-79752967,43670080,0,35210227,3521,35,3521010,ON,N,459,460,35210227,535
204153,-79757324,43667277,3,35210228,3521,35,3521010,ON,N,388,390,35210228,535
204105,-79759765,43661911,0,35210229,3521,35,3521010,ON,N,607,610,35210229,535
204161,-79765066,43674043,2,35210231,3521,35,3521010,ON,N,759,760,35210231,535
204089,-79764374,43660521,4,35210233,3521,35,3521010,ON,N,649,650,35210233,535
204041,-79769787,43659652,3,35210234,3521,35,3521010,ON,N,1677,1675,35210234,535
202697,-79734612,43603100,3,35210239,3521,35,3521005,ON,N,1086,1090,35210239,535
202713,-79727674,43607237,0,35210240,3521,35,3521005,ON,N,514,515,35210240,535
202705,-79727172,43603851,2,35210241,3521,35,3521005,ON,N,978,980,35210241,535
203009,-79720620,43606715,1,35210242,3521,35,3521005,ON,N,617,615,35210242,535
202945,-79722135,43595452,0,35210243,3521,35,3521005,ON,N,645,645,35210243,535
202953,-79719810,43597356,1,35210244,3521,35,3521005,ON,N,478,475,35210244,535
203001,-79718311,43598925,3,35210245,3521,35,3521005,ON,N,349,350,35210245,535
202985,-79715329,43597387,2,35210246,3521,35,3521005,ON,N,467,470,35210246,535
203025,-79712711,43599121,0,35210247,3521,35,3521005,ON,N,608,605,35210247,535
203033,-79713670,43602150,2,35210248,3521,35,3521005,ON,N,409,410,35210248,535
203041,-79709293,43603389,1,35210249,3521,35,3521005,ON,N,973,970,35210249,535
203265,-79704371,43610766,2,35210252,3521,35,3521005,ON,N,481,480,35210252,535
203281,-79701816,43611079,0,35210253,3521,35,3521005,ON,N,346,350,35210253,535
203049,-79708675,43610971,1,35210255,3521,35,3521005,ON,N,528,530,35210255,535
203017,-79717411,43610803,3,35210256,3521,35,3521005,ON,N,1130,1130,35210256,535
226809,-79680347,43617915,0,35210261,3521,35,3521005,ON,N,692,690,35210261,535
226521,-79689060,43611747,2,35210262,3521,35,3521005,ON,N,1340,1340,35210262,535
226513,-79683860,43605981,1,35210264,3521,35,3521005,ON,N,1432,1435,35210264,535
226553,-79677271,43598123,1,35210269,3521,35,3521005,ON,N,926,925,35210269,535
