OBJECTID,ADDRESS,Longitude,ID,Latitude,HAM_CMA,Sum_count
1,"1 Elizabeth St, Orangeville, ON L9W 7N7, Canada",-80.0993215,1,43.9212702,0,1
2,"1 Manley St, Ayr, ON N0B 1E0, Canada",-80.4521942,2,43.2875112,0,2
3,"1 Princess Anne Dr, Georgetown, ON L7G 2B5, Canada",-79.9339445,3,43.6447663,0,6
4,"1 Young St, Hamilton, ON L8N 1T8, Canada",-79.87094,4,43.2514312,1,6
5,"10 Eastern Ave, Acton, ON L7J 2E6, Canada",-80.0357966,5,43.6333798,0,4
6,"10 Fieldstone Cir, Brantford, ON N3R 6S7, Canada",-80.2649326,6,43.1790955,0,1
7,"10 George St, Hamilton, ON L8P 1C8, Canada",-79.8747461,7,43.2574938,1,1
8,"10 Northtown Way, North York, ON M2N 7L4, Canada",-79.413286,8,43.7759301,0,1
9,"10 Parkside Dr, St. Jacobs, ON N0B 2N0, Canada",-80.5509198,9,43.5441699,0,8
10,"10 Victoria St S, Kitchener, ON N2G 1C5, Canada",-80.4987777,10,43.4527226,0,10
11,"10 Westheights Dr, Kitchener, ON N2N 2A8, Canada",-80.5309525,11,43.4293991,0,4
12,"100 Highland Rd W, Kitchener, ON N2M 3B5, Canada",-80.5020572,12,43.4414794,0,5
13,"100 Humber College Blvd, Etobicoke, ON M9V 5G4, Canada",-79.5991889,13,43.7314795,0,1
14,"100 Main St E, Hamilton, ON L8N 3W4, Canada",-79.8652871,14,43.2541433,1,1
15,"100 Main St W, Hamilton, ON L8P 1H6, Canada",-79.8735212,15,43.2569357,1,27
16,"100 Queensway W, Mississauga, ON L5B 1B8, Canada",-79.6085507,16,43.5714273,0,2
17,"100 The Boardwalk, Kitchener, ON N2N 0B1, Canada",-80.5580808,17,43.4337075,0,5
18,"100 West 5th Street, Hamilton, ON L8P 3R2, Canada",-79.8841077,18,43.240445,1,3
19,"100 Westmount Rd, Guelph, ON N1H 5H8, Canada",-80.2718886,19,43.5502119,0,4
20,"1000 Upper Gage Ave, Hamilton, ON L8V 5B7, Canada",-79.8462179,20,43.2136357,1,1
21,"101 Queensway W, Mississauga, ON L5B 2P7, Canada",-79.6108171,21,43.5721311,0,1
